"","elbowplot"
"2",631183532.370478
"3",612498857.415712
"4",596662925.43395
"5",537219502.964
"6",520556836.661856
"7",498445116.406744
"8",498814449.085304
"9",494018933.398841
"10",492076918.865206
"12",462206018.045208
"13",465386569.056569
"14",457145943.00118

